5.154396181901426122e-01, 5.154396181901426122e-01, 5.154396181901426122e-01
3.764013815064977120e-01, 3.764013815064977120e-01, 3.764013815064977120e-01
4.368958686002878955e-01, 4.368958686002878955e-01, 4.368958686002878955e-01
5.477937568099877641e-01, 5.477937568099877641e-01, 3.764013815064977120e-01
6.850386850390275395e-01, 4.368958686002878955e-01, 4.368958686002878955e-01
8.357499626084347044e-01, 5.477937568099877641e-01, 3.764013815064977120e-01
9.938199032017822621e-01, 4.368958686002878955e-01, 4.368958686002878955e-01
1.156234405300240020e+00, 5.477937568099877641e-01, 3.764013815064977120e-01
1.321392447382683910e+00, 4.368958686002878955e-01, 4.368958686002878955e-01
1.488380999609978828e+00, 3.764013815064977120e-01, 3.764013815064977120e-01
