[ 0.21222135 -0.00902692  0.12117892]
[ 0.23024983 -0.04453603  0.12394655]
[ 0.24175489 -0.08650013  0.12748093]
[ 0.2449816  -0.13275688  0.13181289]
[ 0.23883393 -0.1820846   0.13709219]
[ 0.22015235 -0.23756842  0.14414103]
[ 0.20030799 -0.27407071  0.14967168]
[ 0.20691144 -0.2737036   0.15475889]
[ 0.25021182 -0.25483081  0.18525442]
[ 0.27557087 -0.23769691  0.20620994]
[ 0.28625467 -0.22871766  0.21580591]
[ 0.32574181 -0.18217176  0.25687351]
[ 0.33615697 -0.16435058  0.26991214]
[ 0.34326245 -0.16294067  0.27591492]
[ 0.36450266 -0.15617685  0.28775379]
[ 0.37095866 -0.15354674  0.29006302]
[ 0.38119035 -0.14890482  0.29303286]
[ 0.40192578 -0.13801136  0.29894107]
[ 0.40557194 -0.13600861  0.30019723]
[ 0.41065331 -0.13407905  0.30139622]
[ 0.42100357 -0.13023502  0.30304624]
[ 0.4310458  -0.12650405  0.30369242]
[ 0.44087793 -0.12275007  0.30340276]
[ 0.45180054 -0.11855438  0.30183355]
[ 0.45789147 -0.11608787  0.30046081]
[ 0.45944592 -0.11487176  0.29927806]
[ 0.45951006 -0.110959    0.29481461]
[ 0.45943248 -0.10590076  0.28928147]
[ 0.46170204 -0.1046289   0.28826449]
[ 0.46933827 -0.10125168  0.28594873]
[ 0.47803909 -0.09734284  0.28282482]
[ 0.49039113 -0.09169688  0.277726  ]
[ 0.50507405 -0.08481941  0.27057248]
[ 0.51910203 -0.07799754  0.26224988]
[ 0.52922489 -0.07282119  0.25518839]
[ 0.53559516 -0.06950625  0.2503889 ]
[ 0.54166249 -0.06622769  0.24539467]
[ 0.54207417 -0.06604849  0.2450968 ]
