[ 0.23187901 -0.03520666  0.13271041]
[ 0.25371951 -0.14699839  0.15149637]
[ 0.20241573 -0.27123621  0.14952429]
[ 0.26241972 -0.29202407  0.22493816]
[ 0.32039663 -0.28154787  0.26936814]
[ 0.35731914 -0.26286495  0.32853918]
[ 0.3763928  -0.27509374  0.3026035 ]
[ 0.37256269 -0.26482375  0.3449239 ]
[ 0.37725284 -0.27496755  0.30003029]
[ 0.38963808 -0.2684784   0.24899578]
[ 0.39482409 -0.26438471  0.24926132]
[ 0.43806955 -0.2488211   0.24265322]
[ 0.48647528 -0.22719383  0.19499317]
[ 0.54074494 -0.18413416  0.14583145]
[ 0.54196388 -0.18290162  0.1450027 ]
