[ 0.25482921 -0.08676402  0.15151609]
[ 0.25539498 -0.16350897  0.16199038]
[ 0.22217248 -0.24463151  0.15549393]
[ 0.19969766 -0.27589161  0.15050084]
[ 0.22878826 -0.27010086  0.17655968]
[ 0.26024558 -0.25981425  0.22308173]
[ 0.26834965 -0.25526231  0.23798553]
[ 0.29160672 -0.23418638  0.28042767]
[ 0.30827871 -0.21186198  0.3000723 ]
[ 0.32039799 -0.20706496  0.30082569]
[ 0.35436611 -0.19095161  0.30188674]
[ 0.38751312 -0.17062456  0.30154803]
[ 0.41548089 -0.1495038   0.30011706]
[ 0.4176974  -0.14765201  0.29965918]
[ 0.41780308 -0.14780763  0.29827096]
[ 0.41781819 -0.14777981  0.29850113]
[ 0.41776782 -0.1476921   0.29997869]
[ 0.47621197 -0.13710393  0.30935396]
[ 0.52014713 -0.11359371  0.30319345]
[ 0.54138666 -0.10026239  0.2865926 ]
[ 0.59131689 -0.07148179  0.23389697]
[ 0.61485072 -0.06260494  0.22630069]
[ 0.64200404 -0.06606773  0.24498523]
[ 0.64200404 -0.06606773  0.24498523]
